i j d
125 312 50.5
312 125 50.5
125 313 36.88
313 125 36.88
125 314 32.24
314 125 32.24
125 315 27.0
315 125 27.0
125 316 19.36
316 125 19.36
125 317 18.0
317 125 18.0
125 318 19.2
318 125 19.2
125 319 22.49
319 125 22.49
125 320 30.43
320 125 30.43
125 321 32.06
321 125 32.06
125 322 34.85
322 125 34.85
125 323 39.6
323 125 39.6
125 324 58.86
324 125 58.86
125 325 64.93
325 125 64.93
125 326 71.38
326 125 71.38
125 327 82.48
327 125 82.48
125 328 87.54
328 125 87.54
125 329 93.64
329 125 93.64
125 330 100.67
330 125 100.67
125 331 107.23
331 125 107.23
125 332 112.52
332 125 112.52
125 333 116.43
333 125 116.43
125 334 121.43
334 125 121.43
125 335 115.82
335 125 115.82
125 336 103.86
336 125 103.86
125 337 97.53
337 125 97.53
125 338 91.09
338 125 91.09
125 339 84.76
339 125 84.76
125 340 78.26
340 125 78.26
125 341 71.85
341 125 71.85
125 342 65.38
342 125 65.38
125 343 59.18
343 125 59.18
125 344 51.64
344 125 51.64
125 345 38.43
345 125 38.43
125 346 34.01
346 125 34.01
125 347 29.08
347 125 29.08
125 348 22.18
348 125 22.18
125 349 21.0
349 125 21.0
125 350 22.03
350 125 22.03
125 351 24.96
351 125 24.96
125 352 32.57
352 125 32.57
125 353 34.1
353 125 34.1
125 354 36.73
354 125 36.73
125 355 41.27
355 125 41.27
125 356 60.0
356 125 60.0
125 357 65.96
357 125 65.96
125 358 72.32
358 125 72.32
125 359 83.29
359 125 83.29
125 360 88.3
360 125 88.3
125 361 94.35
361 125 94.35
125 362 101.34
362 125 101.34
125 363 107.85
363 125 107.85
125 364 113.12
364 125 113.12
125 365 117.01
365 125 117.01
125 366 121.98
366 125 121.98
125 367 116.4
367 125 116.4
125 368 104.5
368 125 104.5
125 369 98.22
369 125 98.22
125 370 91.83
370 125 91.83
125 371 85.56
371 125 85.56
125 372 79.12
372 125 79.12
125 373 72.78
373 125 72.78
125 374 66.41
374 125 66.41
125 375 60.31
375 125 60.31
125 376 52.93
376 125 52.93
125 377 40.15
377 125 40.15
125 378 35.94
378 125 35.94
125 379 31.32
379 125 31.32
125 380 25.04
380 125 25.04
125 381 24.0
381 125 24.0
125 382 24.91
382 125 24.91
125 383 27.53
383 125 27.53
126 127 6.82
127 126 6.82
126 128 15.8
128 126 15.8
126 129 18.75
129 126 18.75
126 130 23.2
130 126 23.2
126 131 29.86
131 126 29.86
126 132 51.03
132 126 51.03
126 133 57.47
133 126 57.47
126 134 64.24
134 126 64.24
126 135 75.77
135 126 75.77
126 136 80.99
136 126 80.99
126 137 87.25
137 126 87.25
126 138 94.46
138 126 94.46
126 139 101.14
139 126 101.14
126 140 106.53
140 126 106.53
126 141 110.51
141 126 110.51
126 142 115.59
142 126 115.59
126 143 120.33
143 126 120.33
126 144 108.14
144 126 108.14
126 145 101.67
145 126 101.67
126 146 95.08
146 126 95.08
126 147 88.56
147 126 88.56
126 148 81.84
148 126 81.84
126 149 75.16
149 126 75.16
126 150 68.38
150 126 68.38
126 151 61.79
151 126 61.79
126 152 53.65
152 126 53.65
126 153 38.7
153 126 38.7
126 154 33.28
154 126 33.28
126 155 26.68
155 126 26.68
126 156 14.13
156 126 14.13
126 157 7.31
157 126 7.31
126 158 3.0
158 126 3.0
126 159 7.45
159 126 7.45
126 160 16.63
160 126 16.63
126 161 19.46
161 126 19.46
126 162 23.78
162 126 23.78
126 163 30.31
163 126 30.31
126 164 51.29
164 126 51.29
126 165 57.7
165 126 57.7
126 166 64.45
166 126 64.45
126 167 75.95
167 126 75.95
126 168 81.15
168 126 81.15
126 169 87.41
169 126 87.41
126 170 94.6
170 126 94.6
126 171 101.28
171 126 101.28
126 172 106.66
172 126 106.66
126 173 110.63
173 126 110.63
126 174 115.71
174 126 115.71
126 175 120.44
175 126 120.44
126 176 108.27
176 126 108.27
126 177 101.81
177 126 101.81
126 178 95.22
178 126 95.22
126 179 88.71
179 126 88.71
126 180 82.0
180 126 82.0
126 181 75.34
181 126 75.34
126 182 68.57
182 126 68.57
126 183 62.01
183 126 62.01
126 184 53.9
184 126 53.9
126 185 39.04
185 126 39.04
126 186 33.68
186 126 33.68
126 187 27.18
187 126 27.18
126 188 15.06
188 126 15.06
126 189 8.97
189 126 8.97
126 190 6.0
190 126 6.0
126 191 9.08
191 126 9.08
126 192 17.93
192 126 17.93
126 193 20.58
193 126 20.58
126 194 24.71
194 126 24.71
126 195 31.04
195 126 31.04
126 196 51.73
196 126 51.73
126 197 58.09
197 126 58.09
126 198 64.8
198 126 64.8
126 199 76.24
199 126 76.24
126 200 81.43
200 126 81.43
126 201 87.66
201 126 87.66
126 202 94.84
202 126 94.84
126 203 101.5
203 126 101.5
126 204 106.87
204 126 106.87
126 205 110.84
205 126 110.84
126 206 115.9
206 126 115.9
126 207 120.63
207 126 120.63
126 208 108.47
208 126 108.47
126 209 102.03
209 126 102.03
126 210 95.46
210 126 95.46
126 211 88.97
211 126 88.97
126 212 82.27
212 126 82.27
126 213 75.64
213 126 75.64
126 214 68.9
214 126 68.9
126 215 62.37
215 126 62.37
126 216 54.32
216 126 54.32
126 217 39.62
217 126 39.62
126 218 34.34
218 126 34.34
126 219 28.0
219 126 28.0
126 220 16.48
220 126 16.48
126 221 11.2
221 126 11.2
126 222 9.0
222 126 9.0
126 223 11.29
223 126 11.29
126 224 19.61
224 126 19.61
126 225 22.06
225 126 22.06
126 226 25.95
226 126 25.95
126 227 32.04
227 126 32.04
126 228 52.33
228 126 52.33
126 229 58.63
229 126 58.63
126 230 65.28
230 126 65.28
126 231 76.66
231 126 76.66
126 232 81.81
232 126 81.81
126 233 88.02
233 126 88.02
126 234 95.17
234 126 95.17
126 235 101.81
235 126 101.81
126 236 107.16
236 126 107.16
126 237 111.12
237 126 111.12
126 238 116.17
238 126 116.17
126 239 120.89
239 126 120.89
126 240 108.76
240 126 108.76
126 241 102.34
241 126 102.34
126 242 95.78
242 126 95.78
126 243 89.32
243 126 89.32
126 244 82.66
244 126 82.66
126 245 76.05
245 126 76.05
126 246 69.36
246 126 69.36
126 247 62.88
247 126 62.88
126 248 54.9
248 126 54.9
126 249 40.4
249 126 40.4
126 250 35.25
250 126 35.25
126 251 29.1
251 126 29.1
126 252 18.3
252 126 18.3
126 253 13.73
253 126 13.73
126 254 12.0
254 126 12.0
126 255 13.8
255 126 13.8
126 256 21.58
256 126 21.58
126 257 23.82
257 126 23.82
126 258 27.47
258 126 27.47
126 259 33.28
259 126 33.28
126 260 53.1
260 126 53.1
126 261 59.32
261 126 59.32
126 262 65.9
262 126 65.9
126 263 77.18
263 126 77.18
126 264 82.31
264 126 82.31
126 265 88.48
265 126 88.48
126 266 95.59
266 126 95.59
126 267 102.21
267 126 102.21
126 268 107.54
268 126 107.54
126 269 111.48
269 126 111.48
126 270 116.52
270 126 116.52
126 271 121.22
271 126 121.22
126 272 109.14
272 126 109.14
126 273 102.73
273 126 102.73
126 274 96.21
274 126 96.21
126 275 89.77
275 126 89.77
126 276 83.14
276 126 83.14
126 277 76.58
277 126 76.58
126 278 69.94
278 126 69.94
126 279 63.52
279 126 63.52
126 280 55.63
280 126 55.63
126 281 41.39
281 126 41.39
126 282 36.38
282 126 36.38
126 283 30.46
283 126 30.46
126 284 20.39
284 126 20.39
126 285 16.42
285 126 16.42
126 286 15.0
286 126 15.0
126 287 16.48
287 126 16.48
126 288 23.76
288 126 23.76
126 289 25.82
289 126 25.82
126 290 29.21
290 126 29.21
126 291 34.74
291 126 34.74
126 292 54.03
292 126 54.03
126 293 60.15
293 126 60.15
126 294 66.65
294 126 66.65
126 295 77.82
295 126 77.82
126 296 82.91
296 126 82.91
126 297 89.04
297 126 89.04
126 298 96.11
298 126 96.11
126 299 102.69
299 126 102.69
126 300 108.0
300 126 108.0
126 301 111.93
301 126 111.93
126 302 116.94
302 126 116.94
126 303 121.63
303 126 121.63
126 304 109.59
304 126 109.59
126 305 103.21
305 126 103.21
126 306 96.72
306 126 96.72
126 307 90.32
307 126 90.32
126 308 83.74
308 126 83.74
126 309 77.23
309 126 77.23
126 310 70.64
310 126 70.64
126 311 64.29
311 126 64.29
126 312 56.51
312 126 56.51
126 313 42.57
313 126 42.57
126 314 37.71
314 126 37.71
126 315 32.04
315 126 32.04
126 316 22.69
316 126 22.69
126 317 19.2
317 126 19.2
126 318 18.0
318 126 18.0
126 319 19.25
319 126 19.25
126 320 26.11
320 126 26.11
126 321 27.99
321 126 27.99
126 322 31.15
322 126 31.15
126 323 36.38
323 126 36.38
126 324 55.1
324 126 55.1
126 325 61.11
325 126 61.11
126 326 67.52
326 126 67.52
126 327 78.57
327 126 78.57
126 328 83.61
328 126 83.61
126 329 89.69
329 126 89.69
126 330 96.72
330 126 96.72
126 331 103.26
331 126 103.26
126 332 108.54
332 126 108.54
126 333 112.45
333 126 112.45
126 334 117.44
334 126 117.44
126 335 122.11
335 126 122.11
126 336 110.12
336 126 110.12
126 337 103.78
337 126 103.78
126 338 97.32
338 126 97.32
126 339 90.97
339 126 90.97
126 340 84.43
340 126 84.43
126 341 77.98
341 126 77.98
126 342 71.47
342 126 71.47
126 343 65.19
343 126 65.19
126 344 57.54
344 126 57.54
126 345 43.93
345 126 43.93
126 346 39.23
346 126 39.23
126 347 33.82
347 126 33.82
126 348 25.13
348 126 25.13
126 349 22.03
349 126 22.03
126 350 21.0
350 126 21.0
126 351 22.08
351 126 22.08
126 352 28.58
352 126 28.58
126 353 30.31
353 126 30.31
126 354 33.25
354 126 33.25
126 355 38.19
355 126 38.19
126 356 56.31
356 126 56.31
126 357 62.21
357 126 62.21
126 358 68.51
358 126 68.51
126 359 79.42
359 126 79.42
126 360 84.41
360 126 84.41
126 361 90.44
361 126 90.44
126 362 97.41
362 126 97.41
126 363 103.91
363 126 103.91
126 364 109.16
364 126 109.16
126 365 113.05
365 126 113.05
126 366 118.02
366 126 118.02
126 367 122.66
367 126 122.66
126 368 110.73
368 126 110.73
126 369 104.43
369 126 104.43
126 370 98.01
370 126 98.01
126 371 91.71
371 126 91.71
126 372 85.23
372 126 85.23
126 373 78.84
373 126 78.84
126 374 72.4
374 126 72.4
126 375 66.22
375 126 66.22
126 376 58.7
376 126 58.7
126 377 45.44
377 126 45.44
126 378 40.92
378 126 40.92
126 379 35.76
379 126 35.76
126 380 27.69
380 126 27.69
126 381 24.91
381 126 24.91
126 382 24.0
382 126 24.0
126 383 24.95
383 126 24.95
127 128 9.58
128 127 9.58
127 129 13.93
129 127 13.93
127 130 19.5
130 127 19.5
127 131 27.1
131 127 27.1
127 132 47.83
132 127 47.83
127 133 54.27
133 127 54.27
127 134 61.04
134 127 61.04
127 135 72.57
135 127 72.57
127 136 77.79
136 127 77.79
127 137 84.05
137 127 84.05
127 138 91.26
138 127 91.26
127 139 97.95
139 127 97.95
127 140 103.33
140 127 103.33
127 141 107.31
141 127 107.31
127 142 112.39
142 127 112.39
127 143 119.21
143 127 119.21
127 144 114.83
144 127 114.83
127 145 108.36
145 127 108.36
127 146 101.76
146 127 101.76
127 147 95.25
147 127 95.25
127 148 88.52
148 127 88.52
127 149 81.85
149 127 81.85
127 150 75.06
150 127 75.06
127 151 68.48
151 127 68.48
127 152 60.33
152 127 60.33
127 153 45.37
153 127 45.37
127 154 39.94
154 127 39.94
127 155 33.34
155 127 33.34
127 156 20.85
156 127 20.85
127 157 13.82
157 127 13.82
127 158 7.45
158 127 7.45
127 159 3.0
159 127 3.0
127 160 10.9
160 127 10.9
127 161 14.86
161 127 14.86
127 162 20.18
162 127 20.18
127 163 27.59
163 127 27.59
127 164 48.12
164 127 48.12
127 165 54.52
165 127 54.52
127 166 61.26
166 127 61.26
127 167 72.76
167 127 72.76
127 168 77.96
168 127 77.96
127 169 84.21
169 127 84.21
127 170 91.41
170 127 91.41
127 171 98.08
171 127 98.08
127 172 103.46
172 127 103.46
127 173 107.44
173 127 107.44
127 174 112.51
174 127 112.51
127 175 119.32
175 127 119.32
127 176 114.95
176 127 114.95
127 177 108.49
177 127 108.49
127 178 101.9
178 127 101.9
127 179 95.39
179 127 95.39
127 180 88.67
180 127 88.67
127 181 82.01
181 127 82.01
127 182 75.24
182 127 75.24
127 183 68.67
183 127 68.67
127 184 60.56
184 127 60.56
127 185 45.67
185 127 45.67
127 186 40.28
186 127 40.28
127 187 33.74
187 127 33.74
127 188 21.48
188 127 21.48
127 189 14.76
189 127 14.76
127 190 9.08
190 127 9.08
127 191 6.0
191 127 6.0
127 192 12.8
192 127 12.8
127 193 16.31
193 127 16.31
127 194 21.27
194 127 21.27
127 195 28.39
195 127 28.39
127 196 48.58
196 127 48.58
127 197 54.93
197 127 54.93
127 198 61.63
198 127 61.63
127 199 73.07
199 127 73.07
127 200 78.25
200 127 78.25
127 201 84.48
201 127 84.48
127 202 91.65
202 127 91.65
127 203 98.31
203 127 98.31
127 204 103.68
204 127 103.68
127 205 107.65
205 127 107.65
127 206 112.71
206 127 112.71
127 207 119.51
207 127 119.51
127 208 115.14
208 127 115.14
127 209 108.69
209 127 108.69
127 210 102.12
210 127 102.12
127 211 95.62
211 127 95.62
127 212 88.93
212 127 88.93
127 213 82.28
213 127 82.28
127 214 75.54
214 127 75.54
127 215 69.0
215 127 69.0
127 216 60.93
216 127 60.93
127 217 46.16
217 127 46.16
127 218 40.83
218 127 40.83
127 219 34.4
219 127 34.4
127 220 22.51
220 127 22.51
127 221 16.22
221 127 16.22
127 222 11.29
222 127 11.29
127 223 9.0
223 127 9.0
127 224 15.06
224 127 15.06
127 225 18.14
225 127 18.14
127 226 22.7
226 127 22.7
127 227 29.48
227 127 29.48
127 228 49.23
228 127 49.23
127 229 55.5
229 127 55.5
127 230 62.14
230 127 62.14
127 231 73.5
231 127 73.5
127 232 78.65
232 127 78.65
127 233 84.85
233 127 84.85
127 234 92.0
234 127 92.0
127 235 98.63
235 127 98.63
127 236 103.98
236 127 103.98
127 237 107.94
237 127 107.94
127 238 112.99
238 127 112.99
127 239 119.77
239 127 119.77
127 240 115.42
240 127 115.42
127 241 108.98
241 127 108.98
127 242 102.43
242 127 102.43
127 243 95.95
243 127 95.95
127 244 89.28
244 127 89.28
127 245 82.67
245 127 82.67
127 246 75.95
246 127 75.95
127 247 69.45
247 127 69.45
127 248 61.44
248 127 61.44
127 249 46.83
249 127 46.83
127 250 41.6
250 127 41.6
127 251 35.3
251 127 35.3
127 252 23.87
252 127 23.87
127 253 18.05
253 127 18.05
127 254 13.8
254 127 13.8
127 255 12.0
255 127 12.0
127 256 17.54
256 127 17.54
127 257 20.25
257 127 20.25
127 258 24.42
258 127 24.42
127 259 30.83
259 127 30.83
127 260 50.04
260 127 50.04
127 261 56.23
261 127 56.23
127 262 62.79
262 127 62.79
127 263 74.05
263 127 74.05
127 264 79.16
264 127 79.16
127 265 85.33
265 127 85.33
127 266 92.44
266 127 92.44
127 267 99.04
267 127 99.04
127 268 104.37
268 127 104.37
127 269 108.31
269 127 108.31
127 270 113.35
270 127 113.35
127 271 120.11
271 127 120.11
127 272 115.77
272 127 115.77
127 273 109.35
273 127 109.35
127 274 102.82
274 127 102.82
127 275 96.37
275 127 96.37
127 276 89.73
276 127 89.73
127 277 83.15
277 127 83.15
127 278 76.49
278 127 76.49
127 279 70.04
279 127 70.04
127 280 62.1
280 127 62.1
127 281 47.69
281 127 47.69
127 282 42.56
282 127 42.56
127 283 36.43
283 127 36.43
127 284 25.51
284 127 25.51
127 285 20.17
285 127 20.17
127 286 16.48
286 127 16.48
127 287 15.0
287 127 15.0
127 288 20.17
288 127 20.17
127 289 22.56
289 127 22.56
127 290 26.37
290 127 26.37
127 291 32.39
291 127 32.39
127 292 51.02
292 127 51.02
127 293 57.1
293 127 57.1
127 294 63.57
294 127 63.57
127 295 74.71
295 127 74.71
127 296 79.79
296 127 79.79
127 297 85.91
297 127 85.91
127 298 92.97
298 127 92.97
127 299 99.54
299 127 99.54
127 300 104.85
300 127 104.85
127 301 108.77
301 127 108.77
127 302 113.78
302 127 113.78
127 303 120.52
303 127 120.52
127 304 116.19
304 127 116.19
127 305 109.81
305 127 109.81
127 306 103.3
306 127 103.3
127 307 96.89
307 127 96.89
127 308 90.28
308 127 90.28
127 309 83.75
309 127 83.75
127 310 77.13
310 127 77.13
127 311 70.74
311 127 70.74
127 312 62.89
312 127 62.89
127 313 48.72
313 127 48.72
127 314 43.71
314 127 43.71
127 315 37.77
315 127 37.77
127 316 27.38
316 127 27.38
127 317 22.49
317 127 22.49
127 318 19.25
318 127 19.25
127 319 18.0
319 127 18.0
127 320 22.89
320 127 22.89
127 321 25.02
321 127 25.02
127 322 28.5
322 127 28.5
127 323 34.15
323 127 34.15
127 324 52.15
324 127 52.15
127 325 58.12
325 127 58.12
127 326 64.49
326 127 64.49
127 327 75.49
327 127 75.49
127 328 80.52
328 127 80.52
127 329 86.59
329 127 86.59
127 330 93.6
330 127 93.6
127 331 100.13
331 127 100.13
127 332 105.4
332 127 105.4
127 333 109.31
333 127 109.31
127 334 114.3
334 127 114.3
127 335 121.01
335 127 121.01
127 336 116.7
336 127 116.7
127 337 110.34
337 127 110.34
127 338 103.87
338 127 103.87
127 339 97.49
339 127 97.49
127 340 90.93
340 127 90.93
127 341 84.44
341 127 84.44
127 342 77.88
342 127 77.88
127 343 71.56
343 127 71.56
127 344 63.81
344 127 63.81
127 345 49.9
345 127 49.9
127 346 45.03
346 127 45.03
127 347 39.28
347 127 39.28
127 348 29.44
348 127 29.44
127 349 24.96
349 127 24.96
127 350 22.08
350 127 22.08
127 351 21.0
351 127 21.0
127 352 25.67
352 127 25.67
127 353 27.59
353 127 27.59
127 354 30.78
354 127 30.78
127 355 36.07
355 127 36.07
127 356 53.43
356 127 53.43
127 357 59.27
357 127 59.27
127 358 65.52
358 127 65.52
127 359 76.38
359 127 76.38
127 360 81.35
360 127 81.35
127 361 87.36
361 127 87.36
127 362 94.31
362 127 94.31
127 363 100.8
363 127 100.8
127 364 106.04
364 127 106.04
127 365 109.92
365 127 109.92
127 366 114.88
366 127 114.88
127 367 121.56
367 127 121.56
127 368 117.27
368 127 117.27
127 369 110.95
369 127 110.95
127 370 104.51
370 127 104.51
127 371 98.18
371 127 98.18
127 372 91.67
372 127 91.67
127 373 85.24
373 127 85.24
127 374 78.75
374 127 78.75
127 375 72.5
375 127 72.5
127 376 64.86
376 127 64.86
127 377 51.24
377 127 51.24
127 378 46.5
378 127 46.5
127 379 40.97
379 127 40.97
127 380 31.65
380 127 31.65
127 381 27.53
381 127 27.53
127 382 24.95
382 127 24.95
127 383 24.0
383 127 24.0
128 129 6.86
129 128 6.86
128 130 13.44
130 128 13.44
128 131 21.64
131 128 21.64
128 132 41.6
132 128 41.6
128 133 48.05
133 128 48.05
128 134 54.83
134 128 54.83
128 135 66.37
135 128 66.37
128 136 71.59
136 128 71.59
128 137 77.86
137 128 77.86
128 138 85.07
138 128 85.07
128 139 91.76
139 128 91.76
128 140 97.15
140 128 97.15
128 141 101.13
141 128 101.13
128 142 106.21
142 128 106.21
128 143 113.03
143 128 113.03
128 144 123.6
144 128 123.6
128 145 117.13
145 128 117.13
128 146 110.53
146 128 110.53
128 147 104.01
147 128 104.01
128 148 97.28
148 128 97.28
128 149 90.6
149 128 90.6
128 150 83.81
150 128 83.81
128 151 77.22
151 128 77.22
128 152 69.07
152 128 69.07
128 153 54.08
153 128 54.08
128 154 48.64
154 128 48.64
128 155 42.01
155 128 42.01
128 156 29.07
156 128 29.07
128 157 22.02
157 128 22.02
128 158 15.51
158 128 15.51
128 159 9.1
159 128 9.1
128 160 3.0
160 128 3.0
128 161 7.49
161 128 7.49
128 162 13.77
162 128 13.77
128 163 21.85
163 128 21.85
128 164 41.71
164 128 41.71
128 165 48.14
165 128 48.14
128 166 54.91
166 128 54.91
128 167 66.44
167 128 66.44
128 168 71.65
168 128 71.65
128 169 77.92
169 128 77.92
128 170 85.12
170 128 85.12
128 171 91.81
171 128 91.81
128 172 97.2
172 128 97.2
128 173 101.17
173 128 101.17
128 174 106.25
174 128 106.25
128 175 113.07
175 128 113.07
128 176 123.64
176 128 123.64
128 177 117.17
177 128 117.17
128 178 110.57
178 128 110.57
128 179 104.05
179 128 104.05
128 180 97.33
180 128 97.33
128 181 90.65
181 128 90.65
128 182 83.86
182 128 83.86
128 183 77.28
183 128 77.28
128 184 69.14
184 128 69.14
128 185 54.16
185 128 54.16
128 186 48.73
186 128 48.73
128 187 42.12
187 128 42.12
128 188 29.22
188 128 29.22
128 189 22.22
189 128 22.22
128 190 15.8
190 128 15.8
128 191 9.58
191 128 9.58
128 192 6.0
192 128 6.0
128 193 9.11
193 128 9.11
128 194 14.72
194 128 14.72
128 195 22.46
195 128 22.46
128 196 42.03
196 128 42.03
128 197 48.42
197 128 48.42
128 198 55.16
198 128 55.16
128 199 66.64
199 128 66.64
128 200 71.84
200 128 71.84
128 201 78.09
201 128 78.09
128 202 85.28
202 128 85.28
128 203 91.96
203 128 91.96
128 204 97.34
204 128 97.34
128 205 101.31
205 128 101.31
128 206 106.38
206 128 106.38
128 207 113.19
207 128 113.19
128 208 123.75
208 128 123.75
128 209 117.28
209 128 117.28
128 210 110.69
210 128 110.69
128 211 104.18
211 128 104.18
128 212 97.46
212 128 97.46
128 213 90.8
213 128 90.8
128 214 84.02
214 128 84.02
128 215 77.45
215 128 77.45
128 216 69.33
216 128 69.33
128 217 54.41
217 128 54.41
128 218 49.01
218 128 49.01
128 219 42.44
219 128 42.44
128 220 29.68
220 128 29.68
128 221 22.82
221 128 22.82
128 222 16.63
222 128 16.63
128 223 10.9
223 128 10.9
128 224 9.0
224 128 9.0
128 225 11.32
225 128 11.32
128 226 16.18
226 128 16.18
128 227 23.44
227 128 23.44
128 228 42.56
228 128 42.56
128 229 48.89
229 128 48.89
128 230 55.56
230 128 55.56
128 231 66.98
231 128 66.98
128 232 72.15
232 128 72.15
128 233 78.38
233 128 78.38
128 234 85.54
234 128 85.54
128 235 92.2
235 128 92.2
128 236 97.57
236 128 97.57
128 237 101.53
237 128 101.53
128 238 106.59
238 128 106.59
128 239 113.39
239 128 113.39
128 240 123.93
240 128 123.93
128 241 117.48
241 128 117.48
128 242 110.9
242 128 110.9
128 243 104.4
243 128 104.4
128 244 97.7
244 128 97.7
128 245 91.05
245 128 91.05
128 246 84.29
246 128 84.29
128 247 77.74
247 128 77.74
128 248 69.65
248 128 69.65
128 249 54.82
249 128 54.82
128 250 49.47
250 128 49.47
128 251 42.96
251 128 42.96
128 252 30.43
252 128 30.43
128 253 23.79
253 128 23.79
128 254 17.93
254 128 17.93
128 255 12.8
255 128 12.8
128 256 12.0
256 128 12.0
128 257 13.82
257 128 13.82
128 258 18.02
258 128 18.02
128 259 24.74
259 128 24.74
128 260 43.3
260 128 43.3
128 261 49.53
261 128 49.53
128 262 56.13
262 128 56.13
128 263 67.45
263 128 67.45
128 264 72.59
264 128 72.59
128 265 78.78
265 128 78.78
128 266 85.91
266 128 85.91
128 267 92.54
267 128 92.54
128 268 97.89
268 128 97.89
128 269 101.84
269 128 101.84
128 270 106.89
270 128 106.89
128 271 113.67
271 128 113.67
128 272 124.18
272 128 124.18
128 273 117.74
273 128 117.74
128 274 111.18
274 128 111.18
128 275 104.7
275 128 104.7
128 276 98.02
276 128 98.02
128 277 91.39
277 128 91.39
128 278 84.66
278 128 84.66
128 279 78.15
279 128 78.15
128 280 70.1
280 128 70.1
128 281 55.4
281 128 55.4
128 282 50.1
282 128 50.1
128 283 43.69
283 128 43.69
128 284 31.45
284 128 31.45
128 285 25.08
285 128 25.08
128 286 19.61
286 128 19.61
128 287 15.06
287 128 15.06
128 288 15.0
288 128 15.0
128 289 16.49
289 128 16.49
128 290 20.14
290 128 20.14
128 291 26.33
291 128 26.33
128 292 44.22
292 128 44.22
128 293 50.34
293 128 50.34
128 294 56.84
294 128 56.84
128 295 68.04
295 128 68.04
128 296 73.14
296 128 73.14
128 297 79.29
297 128 79.29
128 298 86.38
298 128 86.38
128 299 92.98
299 128 92.98
128 300 98.3
300 128 98.3
128 301 102.24
301 128 102.24
128 302 107.26
302 128 107.26
128 303 114.02
303 128 114.02
128 304 124.51
304 128 124.51
128 305 118.09
305 128 118.09
128 306 111.54
306 128 111.54
128 307 105.09
307 128 105.09
128 308 98.43
308 128 98.43
128 309 91.83
309 128 91.83
128 310 85.14
310 128 85.14
128 311 78.66
311 128 78.66
128 312 70.68
312 128 70.68
128 313 56.12
313 128 56.12
128 314 50.9
314 128 50.9
128 315 44.61
315 128 44.61
128 316 32.71
316 128 32.71
128 317 26.64
317 128 26.64
128 318 21.58
318 128 21.58
128 319 17.54
319 128 17.54
128 320 18.0
320 128 18.0
128 321 19.26
321 128 19.26
128 322 22.46
322 128 22.46
128 323 28.15
323 128 28.15
128 324 45.33
324 128 45.33
128 325 51.31
325 128 51.31
128 326 57.71
326 128 57.71
128 327 68.77
327 128 68.77
128 328 73.82
328 128 73.82
128 329 79.91
329 128 79.91
128 330 86.95
330 128 86.95
128 331 93.51
331 128 93.51
128 332 98.8
332 128 98.8
128 333 102.72
333 128 102.72
128 334 107.72
334 128 107.72
128 335 114.45
335 128 114.45
128 336 124.9
336 128 124.9
128 337 118.51
337 128 118.51
128 338 111.99
338 128 111.99
128 339 105.56
339 128 105.56
128 340 98.93
340 128 98.93
128 341 92.37
341 128 92.37
128 342 85.72
342 128 85.72
128 343 79.29
343 128 79.29
128 344 71.38
344 128 71.38
128 345 57.0
345 128 57.0
128 346 51.86
346 128 51.86
128 347 45.7
347 128 45.7
128 348 34.19
348 128 34.19
128 349 28.44
349 128 28.44
128 350 23.76
350 128 23.76
128 351 20.17
351 128 20.17
128 352 21.0
352 128 21.0
128 353 22.09
353 128 22.09
128 354 24.93
354 128 24.93
128 355 30.15
355 128 30.15
128 356 46.6
356 128 46.6
128 357 52.44
357 128 52.44
128 358 58.71
358 128 58.71
128 359 69.61
359 128 69.61
128 360 74.61
360 128 74.61
128 361 80.64
361 128 80.64
128 362 87.62
362 128 87.62
128 363 94.13
363 128 94.13
128 364 99.39
364 128 99.39
128 365 103.29
365 128 103.29
128 366 108.27
366 128 108.27
128 367 114.96
367 128 114.96
128 368 125.37
368 128 125.37
128 369 119.0
369 128 119.0
128 370 112.51
370 128 112.51
128 371 106.11
371 128 106.11
128 372 99.52
372 128 99.52
128 373 93.0
373 128 93.0
128 374 86.4
374 128 86.4
128 375 80.02
375 128 80.02
128 376 72.19
376 128 72.19
128 377 58.01
377 128 58.01
128 378 52.98
378 128 52.98
128 379 46.97
379 128 46.97
128 380 35.86
380 128 35.86
128 381 30.43
381 128 30.43
128 382 26.11
382 128 26.11
128 383 22.89
383 128 22.89
129 130 6.58
130 129 6.58
129 131 14.78
131 129 14.78
129 132 34.86
132 129 34.86
129 133 41.31
133 129 41.31
129 134 48.09
134 129 48.09
129 135 59.63
135 129 59.63
129 136 64.85
136 129 64.85
129 137 71.12
137 129 71.12
129 138 78.33
138 129 78.33
129 139 85.02
139 129 85.02
129 140 90.41
140 129 90.41
129 141 94.39
141 129 94.39
129 142 99.47
142 129 99.47
129 143 106.29
143 129 106.29
129 144 119.65
144 129 119.65
129 145 119.43
145 129 119.43
129 146 112.83
146 129 112.83
129 147 106.31
147 129 106.31
129 148 99.58
148 129 99.58
129 149 92.9
149 129 92.9
129 150 86.11
150 129 86.11
129 151 79.52
151 129 79.52
129 152 71.37
152 129 71.37
129 153 56.38
153 129 56.38
129 154 50.94
154 129 50.94
129 155 44.31
155 129 44.31
129 156 30.78
156 129 30.78
129 157 24.23
157 129 24.23
129 158 18.51
158 129 18.51
129 159 13.6
159 129 13.6
129 160 7.49
160 129 7.49
129 161 3.0
161 129 3.0
129 162 7.23
162 129 7.23
129 163 15.08
163 129 15.08
129 164 34.99
